统计序号,client发送时间(us),client接收时间(us),server发送时间(us),server接收时间(us),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
49,22589664970,22589752484,22589668103,22589746147,3032.125158,10.821126,24988.297342,89.178874,12.134181,824.118268
50,22589752491,22589839952,22589758695,22589834352,3779.430345,13.496301,24224.022500,86.503699,15.601993,640.943748
51,22589839962,22589923223,22589846186,22589916335,4198.228624,15.748069,22460.459103,84.251931,18.691642,534.998475
52,22589923229,22590002308,22589927360,22589996727,3109.609243,12.281389,22210.076645,87.718611,14.000894,714.240115
53,22590002319,22590083486,22590008576,22590077591,3890.853740,14.971602,22097.372521,85.028398,17.607766,567.931205
54,22590083493,22590164678,22590089706,22590161280,3077.270844,11.838394,22916.718696,88.161606,13.428060,744.709187
55,22590164687,22590239668,22590167770,22590237633,1638.692350,6.825729,22368.887002,93.174271,7.325766,1365.044939
56,22590239680,22590327101,22590242728,22590324510,1805.507261,6.450395,26185.138296,93.549605,6.895160,1450.292605
57,22590327107,22590408311,22590330248,22590401588,3158.276933,12.147185,22841.796068,87.852815,13.826745,723.236010
58,22590408317,22590495805,22590414591,22590489232,4113.380349,14.684300,23898.717414,85.315700,17.211720,580.999455
59,22590495812,22590583205,22590502004,22590581489,2532.000607,9.048780,25449.679850,90.951220,9.949047,1005.121396
60,22590583212,22590670711,22590586309,22590665833,2553.452813,9.114390,25462.166955,90.885610,10.028419,997.166144
61,22590670720,22590758184,22590676959,22590750508,4455.334907,15.909403,23549.078484,84.090597,18.919360,528.559109
62,22590758192,22590851838,22590761225,22590846600,2648.226735,8.832198,27335.552836,91.167802,9.687848,1032.221013
63,22590851845,22590939307,22590858087,22590936350,2945.355790,10.517711,25058.417237,89.482289,11.753958,850.777258
64,22590939316,22591032992,22590942402,22591027759,2663.595479,8.880610,27329.789557,91.119390,9.746125,1026.048804
65,22591032999,22591132939,22591039249,22591127748,3663.204217,11.447869,28335.801938,88.552131,12.927830,773.525042
66,22591132950,22591214133,22591139214,22591210921,3034.046251,11.672394,22959.302925,88.327606,13.214888,756.722246
67,22591214140,22591289100,22591217236,22591287395,1537.194602,6.404749,22463.660925,93.595251,6.843028,1461.341387
68,22591289107,22591370316,22591292209,22591364261,2931.908138,11.275844,23069.765774,88.724156,12.708877,786.851589
69,22591370323,22591451551,22591376521,22591446260,3678.572961,14.144137,22329.184413,85.855863,16.474283,607.006702
70,22591451558,22591532778,22591457792,22591528718,3295.955267,12.674218,22709.240650,87.325782,14.513719,689.003303
71,22591532785,22591614028,22591538964,22591607697,4005.478957,15.398250,22007.081149,84.601750,18.200864,549.424460
72,22591614036,22591695306,22591620242,22591690398,3558.504647,13.675403,22462.700378,86.324597,15.841838,631.239878
73,22591695313,22591776406,22591701455,22591771602,3504.714042,13.498082,22459.818738,86.501918,15.604374,640.845971
74,22591776440,22591857617,22591782619,22591852884,3493.827848,13.442231,22497.600235,86.557769,15.529780,643.924120
75,22591857623,22591938824,22591863875,22591933974,3554.662461,13.672245,22444.449994,86.327755,15.837601,631.408755
76,22591938831,22592020032,22591945118,22592017757,2741.399747,10.544205,23257.712708,89.455795,11.787057,848.388227
77,22592020041,22592101186,22592023155,22592094079,3272.581968,12.595970,22708.600285,87.404030,14.411201,693.904706
78,22592101194,22592188792,22592104286,22592181889,3200.220798,11.410078,24847.097004,88.589922,12.879657,776.418209
79,22592188798,22592269977,22592191799,22592264815,2613.647061,10.055556,23378.421387,89.944444,11.179741,894.475070
80,22592269983,22592357448,22592276101,22592349435,4524.494256,16.156177,23480.239317,83.843823,19.269370,518.958319
81,22592357454,22592438567,22592360458,22592432495,2905.973383,11.189328,23064.963041,88.810672,12.599081,793.708682
82,22592438574,22592513544,22592444799,22592511192,2746.202479,11.440576,21257.854869,88.559424,12.918531,774.081847
83,22592513551,22592594779,22592516629,22592587465,3327.333119,12.793618,22680.424254,87.206382,14.670507,681.639723
84,22592594785,22592675939,22592597837,22592669570,3016.436232,11.608793,22967.627661,88.391207,13.133425,761.415986
85,22592675946,22592750916,22592682128,22592748009,2910.135751,12.123516,21093.921598,87.876484,13.796087,724.843217
86,22592750923,22592825949,22592754065,22592821030,2580.988479,10.744275,21440.999071,89.255725,12.037632,830.728197
87,22592825955,22592913603,22592832136,22592903743,5136.042203,18.301616,22927.284708,81.698384,22.401441,446.399850
88,22592913619,22593001079,22592922891,22592992172,5820.591684,20.785502,22182.540979,79.214498,26.239517,381.104571
89,22593001100,22593088481,22593010406,22593083823,4471.023834,15.980591,23506.814437,84.019409,19.020118,525.759095
90,22593088498,22593175889,22593094755,22593166168,5115.870726,18.283347,22865.169367,81.716653,22.374078,446.945800
91,22593175897,22593256966,22593178793,22593251232,2763.172134,10.645253,23193.676274,89.354747,11.913472,839.385863
92,22593256975,22593344750,22593263384,22593335040,5161.016412,18.363999,22942.973634,81.636001,22.494976,444.543706
93,22593344773,22593438349,22593353991,22593430845,5354.086261,17.869967,24607.280558,82.130033,21.758139,459.598134
94,22593438370,22593525882,22593444640,22593517729,4617.987450,16.481168,23401.794685,83.518832,19.733476,506.753103
95,22593525903,22593619525,22593535217,22593609908,6061.368676,20.220675,23914.726523,79.779325,25.345758,394.543342
96,22593619547,22593707095,22593628838,22593701689,4705.717365,16.787362,23325.591328,83.212638,20.174054,495.686194
97,22593707115,22593794431,22593713249,22593787540,4170.372775,14.917083,23786.653654,85.082917,17.532406,570.372361
98,22593794452,22593881886,22593800783,22593875239,4155.324213,14.843196,23839.483713,85.156804,17.430429,573.709354
99,22593881908,22593975567,22593888168,22593966021,5060.799392,16.876114,24927.142547,83.123886,20.302365,492.553461
100,22593975588,22594063016,22593984981,22594053121,6175.673711,22.061582,21817.213122,77.938418,28.306428,353.276649
101,22594063038,22594156656,22594072454,22594147968,5796.578021,19.338161,24178.236449,80.661839,23.974362,417.112240
102,22594156673,22594250272,22594166073,22594241936,5678.750982,18.948920,24289.980027,81.051080,23.378986,427.734551
103,22594250290,22594331394,22594253293,22594323177,3592.443957,13.834090,22375.610828,86.165910,16.055177,622.852050
104,22594331408,22594412554,22594334483,22594409107,2088.228118,8.037365,23893.274317,91.962635,8.739816,1144.188899
105,22594412561,22594493649,22594415680,22594489334,2380.234258,9.167818,23582.697612,90.832182,10.093138,990.772128
