统计序号,client发送时间(us),client接收时间(us),server发送时间(us),server接收时间(us),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
49,23749555509,23749626728,23749556484,23749625250,785.406865,3.444306,22017.647161,96.555694,3.567170,2803.342845
50,23749626734,23749700558,23749627601,23749698898,809.100346,3.423006,22828.028235,96.576994,3.544329,2821.408785
51,23749700564,23749792804,23749701465,23749791269,779.963768,2.640937,28753.639671,97.359063,2.712574,3686.535304
52,23749792811,23749867753,23749793771,23749866179,811.341621,3.381282,23183.750627,96.618718,3.499613,2857.458564
53,23749867759,23749936417,23749868649,23749934975,746.664822,3.396545,21236.402664,96.603455,3.515967,2844.168096
54,23749936423,23750008937,23749937379,23750007642,720.730067,3.104228,22496.959870,96.895772,3.203678,3121.412705
55,23750008943,23750079417,23750009940,23750078201,708.563144,3.140165,21855.955164,96.859835,3.241968,3084.545865
56,23750079423,23750154872,23750080252,23750153538,692.554036,2.866837,23464.870573,97.133163,2.951450,3388.164586
57,23750154878,23750229989,23750155986,23750228210,924.365927,3.843645,23124.837107,96.156355,3.997286,2501.697264
58,23750229994,23750298662,23750231458,23750297338,892.667892,4.060115,21093.601415,95.939885,4.231937,2362.984218
59,23750298667,23750380882,23750299772,23750379431,818.385629,3.108922,25505.391548,96.891078,3.208677,3116.549296
60,23750380916,23750457154,23750382323,23750455531,970.151978,3.974396,23439.896363,96.025604,4.138892,2416.105611
61,23750457161,23750538989,23750458333,23750537413,879.860605,3.358264,25320.006071,96.641736,3.474962,2877.729258
62,23750538993,23750621212,23750540510,23750619435,1054.680071,4.006373,25270.377834,95.993627,4.173583,2396.023072
63,23750621217,23750692243,23750622652,23750690902,888.825706,3.908428,21852.433160,96.091572,4.067399,2458.573487
64,23750692252,23750766725,23750693524,23750765449,815.824171,3.421374,23029.102638,96.578626,3.542579,2822.802198
65,23750766731,23750835527,23750767687,23750834127,754.349195,3.424618,21272.903431,96.575382,3.546057,2820.033956
66,23750835532,23750907681,23750836686,23750906300,811.661803,3.513562,22289.161641,96.486438,3.641509,2746.114398
67,23750907687,23750985112,23750908840,23750983745,806.859071,3.254763,23983.245507,96.745237,3.364261,2972.420635
68,23750985118,23751059916,23750986234,23751058806,712.725512,2.976015,23236.260503,97.023985,3.067299,3260.197664
69,23751059922,23751136405,23751060706,23751135046,686.150392,2.801930,23802.342581,97.198070,2.882701,3468.968735
70,23751136410,23751210787,23751137536,23751209007,930.449388,3.907122,22883.739933,96.092878,4.065985,2459.428768
71,23751210793,23751287157,23751212271,23751285273,1076.452458,4.402598,23373.938836,95.597402,4.605353,2171.386080
72,23751287164,23751363921,23751288631,23751362242,1007.293109,4.098649,23568.929778,95.901351,4.273818,2339.828353
73,23751363928,23751437354,23751365116,23751435983,819.346175,3.485142,22690.349901,96.514858,3.610990,2769.323955
74,23751437359,23751505065,23751438514,23751503469,880.821152,4.063155,20797.432907,95.936845,4.235240,2361.141403
75,23751505071,23751573949,23751506527,23751572542,916.681555,4.156625,21136.826009,95.843375,4.336893,2305.798114
76,23751573956,23751644939,23751575360,23751643312,970.472160,4.270036,21757.018873,95.729964,4.460502,2241.900363
77,23751644945,23751719606,23751646377,23751718337,864.812043,3.617685,23040.309014,96.382315,3.753474,2664.198445
78,23751719612,23751794211,23751720673,23751792567,866.092772,3.626054,23019.176991,96.373946,3.762484,2657.818854
79,23751794218,23751866551,23751795064,23751865141,722.330977,3.118908,22437.405987,96.881092,3.219316,3106.250000
80,23751866562,23751942524,23751867478,23751940757,859.048764,3.532029,23462.629298,96.467971,3.661349,2731.233694
81,23751942531,23752018849,23751943584,23752017052,912.519187,3.734375,23523.143728,96.265625,3.879240,2577.824561
82,23752018855,23752092970,23752020377,23752091364,1001.529830,4.220468,22728.771762,95.779532,4.406441,2269.405371
83,23752092976,23752164843,23752094369,23752163167,982.639082,4.270388,22027.892990,95.729612,4.460885,2241.707397
84,23752164849,23752238374,23752166292,23752236882,939.734671,3.991840,22601.659440,96.008160,4.157813,2405.110733
85,23752238379,23752314711,23752239749,23752313184,927.567749,3.795263,23512.577716,96.204737,3.944985,2534.863652
86,23752314716,23752388769,23752316136,23752387342,911.558640,3.844544,22798.891657,96.155456,3.998259,2501.088865
87,23752388776,23752462716,23752390266,23752461176,970.151978,4.097917,22704.117735,95.902083,4.273022,2340.264026
88,23752462722,23752538155,23752464070,23752536611,925.966838,3.833866,23226.334855,96.166134,3.986711,2508.333333
89,23752538162,23752611805,23752539611,23752610234,966.950156,4.100865,22612.225452,95.899135,4.276227,2338.509934
90,23752611811,23752797860,23752613259,23752796032,1048.916792,1.760826,58520.655912,98.239174,1.792387,5579.151404
91,23752797867,23752872315,23752799426,23752870741,1003.130741,4.208306,22833.791514,95.791694,4.393185,2276.252793
92,23752872320,23752944390,23752873527,23752942879,870.255140,3.771333,22205.273913,96.228667,3.919137,2551.582046
93,23752944397,23753015689,23752945483,23753014378,767.476664,3.362229,22058.950661,96.637771,3.479207,2874.217772
94,23753015695,23753089470,23753016764,23753088102,780.283950,3.303287,22841.155704,96.696713,3.416132,2927.287649
95,23753089476,23753163592,23753090805,23753161885,972.073071,4.096282,22758.548704,95.903718,4.271244,2341.238472
96,23753163600,23753237605,23753165065,23753236264,898.431171,3.791636,22796.650382,96.208364,3.941067,2537.384177
97,23753237614,23753312646,23753239155,23753310960,1033.227865,4.300832,22990.680778,95.699168,4.494116,2225.131701
98,23753312652,23753386993,23753314177,23753385721,895.549532,3.762392,22907.113231,96.237608,3.909482,2557.883447
99,23753386999,23753458383,23753388007,23753457063,745.384094,3.261235,22110.499990,96.738765,3.371177,2966.323024
100,23753458389,23753532846,23753459507,23753531339,840.478198,3.525525,22999.325696,96.474475,3.654360,2736.457143
101,23753532852,23753604333,23753533939,23753602870,816.464536,3.567382,22070.477219,96.432618,3.699352,2703.176471
102,23753604340,23753675186,23753605511,23753673981,760.752838,3.353753,21922.873238,96.646247,3.470133,2881.734007
103,23753675192,23753746967,23753676390,23753745580,827.670912,3.601533,22153.404401,96.398467,3.736089,2676.595745
104,23753746974,23753817142,23753748164,23753815911,775.161036,3.450291,21691.381528,96.549709,3.573590,2798.306485
105,23753817148,23753890066,23753818166,23753888685,768.117028,3.289997,22578.926506,96.710003,3.401920,2939.516465
106,23753890075,23753964562,23753891346,23753963117,869.614776,3.646274,22979.794584,96.353726,3.784258,2642.525773
107,23753964567,23754036938,23753965719,23754035572,806.218706,3.479294,22365.685180,96.520706,3.604713,2774.146148
108,23754036947,23754107474,23754038268,23754106247,815.824171,3.612801,21765.663792,96.387199,3.748216,2667.935636
109,23754107484,23754178003,23754108557,23754176507,822.547997,3.642990,21756.378509,96.357010,3.780721,2644.998054
110,23754178010,23754250426,23754179197,23754249067,815.183807,3.515798,22371.128277,96.484202,3.643910,2744.304792
111,23754250432,23754324315,23754251854,23754322987,880.500970,3.722101,22775.518359,96.277899,3.865997,2586.654545
112,23754324321,23754398278,23754325144,23754396960,685.510028,2.894925,22994.202782,97.105075,2.981230,3354.320411
113,23754398285,23754474109,23754399445,23754472715,817.745264,3.368327,23459.747658,96.631673,3.485738,2868.833203
114,23754474114,23754547709,23754475275,23754546336,811.341621,3.443169,22752.465243,96.556831,3.565950,2804.301500
115,23754547715,23754620713,23754548865,23754619351,804.297613,3.441190,22568.360494,96.558810,3.563828,2805.971338
116,23754620719,23754691986,23754621879,23754690701,782.845408,3.430760,22035.577362,96.569240,3.552643,2814.805726
117,23754691991,23754764655,23754692970,23754763436,703.760412,3.024882,22561.956851,96.975118,3.119235,3205.914468
118,23754764661,23754838390,23754765795,23754837038,795.972877,3.371808,22810.738398,96.628192,3.489466,2865.768302
119,23754838396,23754909639,23754839540,23754908445,748.585915,3.281726,22062.152482,96.718274,3.393077,2947.177074
120,23754909645,23754983731,23754910738,23754982418,770.358303,3.247577,22950.658006,96.752423,3.356585,2979.218620
121,23754983736,23755055132,23754984617,23755053702,739.940997,3.236876,22119.785273,96.763124,3.345155,2989.398529
122,23755055138,23755130385,23755056140,23755128666,871.215687,3.616091,23221.532123,96.383909,3.751758,2665.417126
123,23755130396,23755217616,23755131494,23755215943,887.224795,3.177024,27039.064146,96.822976,3.281270,3047.600144
124,23755217624,23755293123,23755218737,23755291343,926.287020,3.831839,23247.146697,96.168161,3.984519,2509.713101
125,23755293130,23755364569,23755294367,23755362973,907.076090,3.965621,21966.418013,96.034379,4.129376,2421.673138
126,23755364574,23755439797,23755365898,23755438384,876.338602,3.638515,23208.724836,96.361485,3.775902,2648.374132
127,23755439803,23755510588,23755441083,23755509282,827.991094,3.653316,21836.103870,96.346684,3.791844,2637.238979
128,23755510596,23755581857,23755511734,23755580646,752.107919,3.296333,22064.393757,96.703667,3.408695,2933.673904
129,23755581862,23755656654,23755582836,23755655211,773.880307,3.231629,23173.184615,96.768371,3.339551,2994.414564
130,23755656659,23755730752,23755658029,23755729348,888.185342,3.743943,22835.072243,96.256057,3.889567,2570.980534
131,23755730773,23755804781,23755732307,23755803424,925.646656,3.906334,22770.395444,96.093666,4.065132,2459.944656
132,23755804787,23755876596,23755805915,23755875087,844.320385,3.672242,22147.641122,96.327758,3.812236,2623.132347
133,23755876602,23755949686,23755877589,23755948438,715.607152,3.058125,22684.586622,96.941875,3.154596,3169.977629
134,23755949692,23756091765,23755951119,23756089994,1023.942582,2.250955,44465.298977,97.749045,2.302790,4342.557849
135,23756091772,23756164240,23756092883,23756162774,825.109454,3.556052,22377.852103,96.443948,3.687170,2712.107101
136,23756164247,23756237902,23756165259,23756236302,836.315830,3.546263,22746.701964,96.453737,3.676647,2719.869832
137,23756237908,23756311914,23756239020,23756310764,724.252070,3.056509,22971.149665,96.943491,3.152877,3171.706454
138,23756311920,23756368967,23756312760,23756367871,619.872683,3.393693,17645.559618,96.606307,3.512910,2846.642562
139,23756368972,23756445814,23756369751,23756444423,694.795311,2.823976,23908.643062,97.176024,2.906042,3441.105991
140,23756445819,23756520130,23756447338,23756518672,953.182323,4.006136,22839.874975,95.993864,4.173325,2396.170642
141,23756520136,23756597522,23756521229,23756596088,809.100346,3.265449,23968.517128,96.734551,3.375680,2962.366442
142,23756597528,23756670542,23756598685,23756669036,852.645121,3.647246,22525.135901,96.352754,3.785305,2641.794968
143,23756670548,23756743689,23756671749,23756742398,797.893970,3.407118,22620.550188,96.592882,3.527297,2835.032103
