统计序号,client发送时间(us),client接收时间(us),server发送时间(us),server接收时间(us),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
0,24509091952,24509156936,24509094531,24509155422,1310.505625,6.298473,19496.212565,93.701527,6.721847,1487.686294
1,24509156943,24509213532,24509157715,24509211789,805.258160,4.444327,17313.530706,95.555673,4.651034,2150.059642
2,24509213537,24509267954,24509214603,24509266596,776.121582,4.454490,16647.231609,95.545510,4.662166,2144.925743
3,24509267960,24509327418,24509268891,24509325836,804.617795,4.226513,18232.773719,95.773487,4.413030,2266.016713
4,24509327425,24509383802,24509328361,24509382275,788.608687,4.368803,17262.301559,95.631197,4.568387,2188.956557
5,24509383809,24509440151,24509384840,24509438669,804.617795,4.460261,17235.086075,95.539739,4.668487,2142.021488
6,24509440158,24509496279,24509441100,24509494645,824.789272,4.590082,17144.154338,95.409918,4.810907,2078.610248
7,24509496285,24509551962,24509497409,24509550497,828.951640,4.650035,16997.831086,95.349965,4.876808,2050.521437
8,24509551975,24509607010,24509553112,24509605787,755.629923,4.288180,16865.595849,95.711820,4.480304,2231.991525
9,24509607016,24509662161,24509608052,24509660779,774.200489,4.384804,16882.245322,95.615196,4.585886,2180.603805
10,24509662169,24509717165,24509663418,24509716108,738.340086,4.193032,16870.398582,95.806968,4.376542,2284.908933
11,24509717171,24509771139,24509717936,24509769578,744.743729,4.309961,16534.847667,95.690039,4.504086,2220.206363
12,24509771146,24509824004,24509772297,24509822807,751.787737,4.442090,16172.401450,95.557910,4.648584,2151.192504
13,24509824009,24509879899,24509825284,24509878587,828.311276,4.628735,17066.670253,95.371265,4.853385,2060.417472
14,24509879906,24509935316,24509880895,24509934144,691.913671,3.900018,17049.380415,96.099982,4.058292,2464.090699
15,24509935325,24509990460,24509936445,24509989173,770.678485,4.365648,16882.565504,95.634352,4.564937,2190.610719
16,24509990468,24510046561,24509991490,24510044784,896.189896,4.989927,17063.788613,95.010073,5.251998,1904.037156
17,24510046567,24510101233,24510048007,24510100019,849.763481,4.854937,16653.315070,95.145063,5.102669,1959.758855
18,24510101240,24510157612,24510102240,24510155997,837.276377,4.638828,17212.032958,95.361172,4.864483,2055.717017
19,24510157619,24510217263,24510158818,24510215764,863.851497,4.523506,18233.093901,95.476494,4.737822,2110.674574
20,24510217272,24510274465,24510218358,24510272737,900.992629,4.920183,17411.186269,95.079817,5.174792,1932.444918
21,24510274473,24510315761,24510275499,24510314046,877.619330,6.638733,12342.062140,93.361267,7.110800,1406.311565
22,24510315768,24510370926,24510316703,24510369119,877.939512,4.971174,16782.668667,95.028826,5.231227,1911.597374
23,24510370933,24510424916,24510372118,24510423176,936.532850,5.418372,16347.861279,94.581628,5.728779,1745.572650
24,24510424923,24510482727,24510427740,24510481136,1411.363009,7.625770,17096.447195,92.374230,8.255300,1211.343013
25,24510482734,24510538884,24510483834,24510537341,846.241478,4.707035,17131.987416,95.292965,4.939541,2024.479758
26,24510538892,24510596440,24510540078,24510594693,939.094307,5.096615,17486.749261,94.903385,5.370320,1862.086601
27,24510596448,24510652033,24510597534,24510650306,900.672447,5.060718,16896.653520,94.939282,5.330478,1876.004266
28,24510652039,24510707700,24510653168,24510706285,814.543443,4.570525,17007.116369,95.429475,4.789427,2087.932390
29,24510707707,24510764414,24510708749,24510762711,878.900059,4.840672,17277.670303,95.159328,5.086913,1965.828780
30,24510764421,24510819965,24510765564,24510818641,789.889415,4.441524,16994.309082,95.558476,4.647964,2151.479530
31,24510820004,24510877320,24510820921,24510876119,678.145838,3.695303,17673.415466,96.304697,3.837096,2606.137866
32,24510877331,24510961150,24510878372,24510959653,812.622350,3.027953,26024.727029,96.972047,3.122501,3202.561072
33,24510961155,24511017129,24510962339,24511015714,832.153462,4.643227,17089.723369,95.356773,4.869321,2053.674490
34,24511017135,24511073098,24511018253,24511071755,787.968322,4.397548,17130.386505,95.602452,4.599828,2173.994311
35,24511073104,24511130357,24511074036,24511128918,759.151927,4.141268,17572.237900,95.858732,4.320178,2314.719528
36,24511130363,24511185990,24511131473,24511184413,860.329493,4.830388,16950.444125,95.169612,5.075557,1970.227019
37,24511185995,24511242803,24511187345,24511241531,839.517652,4.615547,17349.391110,95.384453,4.838888,2066.590389
38,24511242808,24511298273,24511243900,24511296733,842.719474,4.745335,16916.184632,95.254665,4.981735,2007.332827
39,24511298278,24511353407,24511299637,24511352185,826.390183,4.681746,16824.932714,95.318254,4.911700,2035.955056
40,24511353413,24511409817,24511354472,24511408463,772.599578,4.278065,17286.955586,95.721935,4.469263,2237.505180
41,24511409823,24511450308,24511410823,24511449055,721.370431,5.565024,12241.204756,94.434976,5.892969,1696.937417
42,24511450312,24511505858,24511451596,24511504690,785.086683,4.414359,16999.752179,95.585641,4.618224,2165.334421
43,24511505864,24511561354,24511506657,24511559897,720.409884,4.054785,17046.498776,95.945215,4.226146,2366.222222
44,24511561360,24511616629,24511562522,24511615114,857.127671,4.843583,16839.020729,95.156417,5.090128,1964.587225
45,24511616634,24511673436,24511617902,24511671708,959.265784,5.274462,17227.721885,94.725538,5.568152,1795.927904
46,24511673442,24511729382,24511674935,24511728108,885.944067,4.946371,17025.046570,95.053629,5.203769,1921.684134
47,24511729399,24511785494,24511730526,24511783963,851.044210,4.738390,17109.574664,95.261610,4.974082,2010.421369
48,24511785501,24511840868,24511786915,24511839586,863.211133,4.869326,16864.315121,95.130674,5.118566,1953.672107
49,24511840874,24511895192,24511841967,24511893778,802.696702,4.615413,16588.958454,95.384587,4.838741,2066.653371
50,24511895199,24511951353,24511896091,24511949795,784.446319,4.363002,17195.063303,95.636998,4.562044,2192.000000
51,24511951363,24512007446,24511952325,24512005917,797.573788,4.441631,17159.202900,95.558369,4.648082,2151.425130
52,24512007452,24512065107,24512008534,24512063668,807.179253,4.372561,17652.923808,95.627439,4.572496,2186.989290
53,24512065117,24512121824,24512066021,24512120413,741.221726,4.082388,17415.348637,95.917612,4.256141,2349.546436
54,24512121831,24512178775,24512122745,24512177441,719.769520,3.947738,17512.684017,96.052262,4.109990,2433.096085
55,24512178781,24512235105,24512179629,24512233787,693.514582,3.845608,17340.426009,96.154392,3.999409,2500.369344
56,24512235112,24512291523,24512236012,24512289969,785.727047,4.350215,17276.069392,95.649785,4.548066,2198.736756
57,24512291529,24512347585,24512292460,24512346256,723.611706,4.031683,17224.520063,95.968317,4.201056,2380.353982
58,24512347591,24512405206,24512348489,24512403920,699.277861,3.790680,17748.017912,96.209320,3.940034,2538.049451
59,24512405213,24512462592,24512406109,24512461258,714.006241,3.886439,17657.726540,96.113561,4.043591,2473.049327
60,24512462598,24512519457,24512463478,24512518049,732.576807,4.023989,17472.661245,95.976011,4.192703,2385.096154
61,24512519463,24512577251,24512520351,24512575821,742.182272,4.011213,17760.505017,95.988787,4.178835,2393.011217
