统计序号,client发送时间(count),client接收时间(count),server发送时间(count),server接收时间(count),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
49,78288374556,78288431466,78288375431,78288430009,746.664822,4.097698,17474.902521,95.902302,4.272784,2340.394511
50,78288431472,78288485000,78288432499,78288483536,797.573788,4.653639,16341.137454,95.346361,4.880773,2048.855881
51,78288485008,78288539896,78288486174,78288537341,1191.397858,6.779260,16382.761136,93.220740,7.272265,1375.087342
52,78288539903,78288597095,78288541254,78288595200,1039.311327,5.675619,17272.547389,94.324381,6.017128,1661.922366
53,78288597102,78288660009,78288601219,78288658581,1775.410137,8.814599,18366.289684,91.185401,9.666678,1034.481515
54,78288660016,78288714806,78288661019,78288713389,774.840853,4.416864,16767.940287,95.583136,4.620966,2164.049587
55,78288714812,78288771724,78288715732,78288770260,763.314295,4.188923,17458.893412,95.811077,4.372066,2287.248322
56,78288771733,78288827347,78288772662,78288825852,776.121582,4.358615,17030.489667,95.641385,4.557248,2194.306931
57,78288827356,78288880448,78288828301,78288878966,777.082129,4.571310,16222.029686,95.428690,4.790289,2087.556654
58,78288880455,78288934420,78288881408,78288932176,1023.622400,5.924210,16255.008450,94.075790,6.297274,1587.988739
59,78288934427,78288989722,78288935372,78288988367,736.418993,4.159508,16968.054144,95.840492,4.340032,2304.130435
60,78288989729,78289045452,78288990713,78289043991,782.845408,4.387775,17058.665698,95.612225,4.589136,2179.059305
61,78289045462,78289099105,78289046421,78289097591,791.810509,4.610108,16383.721682,95.389892,4.832910,2069.146785
62,78289099112,78289154967,78289100084,78289153445,798.534334,4.465133,17085.240819,95.534867,4.673825,2139.574980
63,78289154976,78289208799,78289156031,78289207362,797.893970,4.629991,16435.271012,95.370009,4.854766,2059.831461
64,78289208809,78289263996,78289209744,78289262623,738.980450,4.182144,16930.913012,95.817856,4.364682,2291.117851
65,78289264003,78289318050,78289264963,78289316308,865.132226,4.999352,16439.753562,95.000648,5.262440,1900.259067
66,78289318058,78289373823,78289318959,78289372291,779.003222,4.362952,17075.955536,95.637048,4.561989,2192.026305
67,78289373829,78289430014,78289374944,78289428652,793.091237,4.408650,17196.344032,95.591350,4.611976,2168.268066
68,78289430021,78289486231,78289431017,78289484881,751.147373,4.173635,17246.292451,95.826365,4.355414,2295.993180
69,78289486238,78289542976,78289487263,78289540987,965.029063,5.312136,17201.466947,94.687864,5.610156,1782.481752
70,78289542983,78289601925,78289549598,78289600441,2593.155402,13.740626,16279.022112,86.259374,15.929430,627.768860
71,78289601931,78289658926,78289602907,78289656986,933.651210,5.116238,17315.131617,94.883762,5.392112,1854.561043
72,78289658933,78289717022,78289660404,78289715630,916.681555,4.928644,17682.380567,95.071356,5.184152,1928.955641
73,78289717029,78289772217,78289718140,78289770751,825.109454,4.669493,16845.104190,95.330507,4.898215,2041.559953
74,78289772224,78289826790,78289773283,78289825309,813.262714,4.654913,16657.797621,95.345087,4.882174,2048.267717
75,78289826799,78289888112,78289827707,78289882001,2247.358657,11.447817,17383.970784,88.552183,12.927764,773.528993
76,78289888119,78289942689,78289889226,78289940858,940.695218,5.383911,16531.645845,94.616089,5.690270,1757.385977
77,78289942696,78289995278,78289943583,78289993883,730.655714,4.339888,16105.163194,95.660112,4.536779,2204.206836
78,78289995286,78290053128,78289996188,78290050568,1108.470675,5.985270,17411.506451,94.014730,6.366311,1570.768342
79,78290053135,78290107859,78290053979,78290106381,743.463001,4.243111,16778.186117,95.756889,4.431129,2256.761413
80,78290107866,78290163017,78290108770,78290161630,733.537353,4.154050,16924.829551,95.845950,4.334090,2307.289393
81,78290163024,78290219794,78290164460,78290218506,872.176233,4.798309,17304.565606,95.201691,5.040151,1984.067548
82,78290219800,78290273312,78290220630,78290271880,724.252070,4.227089,16409.336256,95.772911,4.413659,2265.694076
83,78290273318,78290326398,78290274201,78290324968,740.581361,4.357573,16254.688267,95.642427,4.556109,2194.855166
84,78290326404,78290382184,78290327305,78290380865,710.804419,3.979921,17148.957071,96.020079,4.144884,2412.612613
85,78290382191,78290437524,78290383020,78290435835,806.218706,4.550630,16910.421353,95.449370,4.767585,2097.498014
86,78290437531,78290494786,78290438756,78290491118,1566.651362,8.545979,16765.378830,91.454021,9.344563,1070.141018
87,78290494793,78290560873,78290495685,78290559354,771.959214,3.648608,20385.678636,96.351392,3.786772,2640.771464
