统计序号,client发送时间(count),client接收时间(count),server发送时间(count),server接收时间(count),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
0,74209032479,74209171523,74209080914,74209159117,19480.203457,43.756653,25039.206307,56.243347,77.798806,128.536678
1,74209171530,74209265208,74209174436,74209246627,6879.754305,22.937082,23114.271096,77.062918,29.764098,335.975241
2,74209265230,74209358925,74209277881,74209351482,6433.740541,21.446182,23565.727957,78.553818,27.301259,366.283468
3,74209358944,74209452682,74209368315,74209439618,7183.287003,23.933730,22829.949328,76.066270,31.464314,317.820370
4,74209452699,74209562030,74209471484,74209549202,10121.918967,28.914946,24883.917954,71.085054,40.676549,245.841900
5,74209562049,74209671117,74209580741,74209657132,10462.592797,29.960208,24459.036213,70.039792,42.775981,233.776050
6,74209671128,74209764715,74209686788,74209758724,6932.264181,23.134623,23032.624642,76.865377,30.097587,332.252552
7,74209764722,74209889863,74209774057,74209877663,6895.123049,17.208589,33172.793993,82.791411,20.785476,481.105178
8,74209889883,74209983588,74209908583,74209978154,7727.276511,25.755296,22275.393808,74.244704,34.689741,288.269661
9,74209983604,74210077384,74209992924,74210066255,6547.405212,21.805289,23479.278770,78.194711,27.885887,358.604333
10,74210077402,74210186536,74210096120,74210168061,11908.535480,34.080122,23034.225553,65.919878,51.699309,193.426182
11,74210186554,74210280239,74210199107,74210273617,6139.493126,20.467524,23856.773550,79.532476,25.734801,388.578879
12,74210280256,74210374306,74210289516,74210362737,6669.074437,22.146730,23444.058732,77.853270,28.446757,351.533919
13,74210374321,74210483304,74210392724,74210468187,10732.506367,30.757091,24161.907159,69.242909,44.419119,225.128282
14,74210483318,74210592817,74210498951,74210576678,10172.827932,29.015790,24886.799593,70.984210,40.876401,244.639935
15,74210592840,74210686435,74210608314,74210680350,6902.807421,23.034350,23064.642859,76.965650,29.928092,334.134236
16,74210686460,74210780060,74210695808,74210767794,6920.417441,23.091880,23048.633751,76.908120,30.025283,333.052651
