统计序号,client发送时间(count),client接收时间(count),server发送时间(count),server接收时间(count),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
0,73861008996,73861093893,73861025184,73861089281,6659.789154,24.500277,20522.716605,75.499723,32.450817,308.158654
1,73861093901,73861171767,73861102960,73861158462,7160.554069,28.721136,17770.750846,71.278864,40.294043,248.175639
2,73861171775,73861249867,73861187350,73861244325,6761.286902,27.041182,18242.379184,72.958818,37.063624,269.806317
3,73861249874,73861327958,73861259166,73861313702,7539.649759,30.157267,17461.454869,69.842733,43.178818,231.595040
4,73861327965,73861406026,73861343559,73861398812,7302.714953,29.218176,17691.025486,70.781824,41.279207,242.252718
5,73861406034,73861468492,73861412215,73861465160,3045.892991,15.231035,16952.045036,84.768965,17.967702,556.554189
6,73861468499,73861546582,73861480962,73861533581,8153.118798,32.611452,16847.665648,67.388548,48.393166,206.640748
7,73861546589,73861609035,73861549606,73861602986,2902.771561,14.518144,17091.324280,85.481856,16.983889,588.793294
8,73861609042,73861687196,73861618415,73861670501,8346.508830,33.354659,16677.008551,66.645341,50.047998,199.808194
9,73861687203,73861765156,73861699549,73861756398,6757.124534,27.072723,18202.036231,72.927277,37.122905,269.375474
10,73861765163,73861827735,73861771467,73861823749,3294.674538,16.445055,16739.764256,83.554945,19.681726,508.085520
11,73861827773,73861905764,73861837018,73861892420,7232.595057,28.963598,17738.732629,71.036402,40.772896,245.260968
12,73861905771,73861984134,73861921358,73861975599,7723.434325,30.782385,17367.001129,69.217615,44.471894,224.861123
13,73861984156,73862062093,73861990392,73862047133,6786.581293,27.196325,18167.456556,72.803675,37.355704,267.696735
14,73862062104,73862140128,73862077685,73862134079,6925.540355,27.722239,18056.353343,72.277761,38.355144,260.721221
15,73862140138,73862218601,73862149647,73862206807,6820.840786,27.150377,18301.612886,72.849623,37.269069,268.319016
16,73862218627,73862312084,73862237210,73862293083,12033.726709,40.215286,17889.538432,59.784714,67.266837,148.661665
17,73862312104,73862390177,73862324540,73862379679,7343.057906,29.375072,17654.524718,70.624928,41.593065,240.424697
18,73862390194,73862468314,73862396256,73862452621,6965.563127,27.848182,18047.068060,72.151818,38.596647,259.089864
19,73862468331,73862546210,73862483753,73862538968,7256.608720,29.101555,17678.858563,70.898445,41.046817,243.624250
20,73862546226,73862624269,73862555549,73862610871,7274.859104,29.113437,17713.118056,70.886563,41.070460,243.484002
21,73862624284,73862686659,73862627395,73862682578,2302.750173,11.530261,17668.612734,88.469739,13.032999,767.283092
22,73862686669,73862764645,73862695952,73862750300,7565.264333,30.301631,17401.260621,69.698369,43.475381,230.015236
23,73862764652,73862842890,73862780331,73862834062,7846.704461,31.323653,17203.708222,68.676347,45.610541,219.247562
24,73862842901,73862921302,73862849068,73862903758,7591.839453,30.243237,17510.762924,69.756763,43.355275,230.652440
25,73862921311,73862998891,73862933341,73862987364,7542.531399,30.364785,17297.201416,69.635215,43.605501,229.328862
26,73862998897,73863061458,73863001938,73863054202,3296.915813,16.459136,16734.000977,83.540864,19.701898,507.565310
27,73863061465,73863123899,73863067617,73863121020,2891.565185,14.464875,17098.688470,85.535125,16.911035,591.329864
28,73863123907,73863202019,73863136434,73863192313,7118.610204,28.462976,17891.459525,71.537024,39.787756,251.333603
29,73863202026,73863264464,73863208220,73863261233,3017.716960,15.094974,16973.817423,84.905026,17.778658,562.472149
30,73863264470,73863342870,73863277318,73863335393,6507.702622,25.924745,18594.579572,74.075255,34.997848,285.731857
31,73863342892,73863420726,73863352240,73863405860,7752.891085,31.109798,17168.168001,68.890202,45.158523,221.442141
32,73863420743,73863498715,73863436243,73863492168,7059.056321,28.275535,17906.187905,71.724465,39.422441,253.662630
33,73863498727,73863576855,73863508027,73863565237,6697.570650,26.774012,18317.621994,73.225988,36.563538,273.496510
34,73863576865,73863639252,73863579911,73863634103,2623.892890,13.135749,17351.312203,86.864251,15.122158,661.281269
35,73863639261,73863717355,73863648603,73863704890,6982.212600,27.924040,18022.093851,72.075960,38.742516,258.114367
36,73863717363,73863795777,73863720486,73863776225,7260.130724,28.917030,17846.634021,71.082970,40.680672,245.816979
37,73863795798,73863874028,73863808284,73863865190,6827.564611,27.258085,18220.286614,72.741915,37.472323,266.863628
38,73863874046,73863951608,73863880001,73863936418,6770.252003,27.262061,18063.717533,72.737939,37.479838,266.810121
