统计序号,client发送时间(ms),client接收时间(ms),server发送时间(ms),server接收时间(ms),本地总线间隔时间(ms),占比百分比(%),服务端间隔时间(ms),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%),,单程1,单程2
58,14384399,14384446,14384399,14384415,31,65.957447,16,34.042553,193.75,51.612903,,0,31
59,14384446,14384540,14384477,14384493,78,82.978723,16,17.021277,487.5,20.512821,,31,47
60,14384540,14384649,14384586,14384618,77,70.642202,32,29.357798,240.625,41.558442,,46,31
61,14384649,14384742,14384664,14384696,61,65.591398,32,34.408602,190.625,52.459016,,15,46
62,14384742,14384836,14384789,14384820,63,67.021277,31,32.978723,203.225806,49.206349,,47,16
63,14384836,14384898,14384867,14384883,46,74.193548,16,25.806452,287.5,34.782609,,31,15
64,14384898,14384992,14384945,14384961,78,82.978723,16,17.021277,487.5,20.512821,,47,31
65,14384992,14385039,14385008,14385039,16,34.042553,31,65.957447,51.612903,193.75,,16,0
66,14385039,14385148,14385086,14385101,94,86.238532,15,13.761468,626.666667,15.957447,,47,47
67,14385148,14385195,14385164,14385179,32,68.085106,15,31.914894,213.333333,46.875,,16,16
68,14385195,14385288,14385226,14385257,62,66.666667,31,33.333333,200,50,,31,31
69,14385288,14385335,14385304,14385320,31,65.957447,16,34.042553,193.75,51.612903,,16,15
70,14385335,14385444,14385382,14385398,93,85.321101,16,14.678899,581.25,17.204301,,47,46
71,14385444,14385491,14385444,14385476,15,31.914894,32,68.085106,46.875,213.333333,,0,15
72,14385491,14385585,14385522,14385538,78,82.978723,16,17.021277,487.5,20.512821,,31,47
73,14385585,14385647,14385600,14385616,46,74.193548,16,25.806452,287.5,34.782609,,15,31
74,14385647,14385741,14385678,14385694,78,82.978723,16,17.021277,487.5,20.512821,,31,47
75,14385741,14385788,14385741,14385772,16,34.042553,31,65.957447,51.612903,193.75,,0,16
76,14385788,14385897,14385819,14385834,94,86.238532,15,13.761468,626.666667,15.957447,,31,63
77,14385897,14385990,14385944,14385959,78,83.870968,15,16.129032,520,19.230769,,47,31
78,14385990,14386037,14386022,14386037,32,68.085106,15,31.914894,213.333333,46.875,,32,0
79,14386037,14386147,14386084,14386115,79,71.818182,31,28.181818,254.83871,39.240506,,47,32
80,14386147,14386193,14386162,14386178,30,65.217391,16,34.782609,187.5,53.333333,,15,15
81,14386193,14386287,14386240,14386256,78,82.978723,16,17.021277,487.5,20.512821,,47,31
82,14386287,14386349,14386303,14386334,31,50,31,50,100,100,,16,15
