统计序号,client发送时间(ms),client接收时间(ms),server发送时间(ms),server接收时间(ms),本地总线间隔时间(ms),占比百分比(%),服务端间隔时间(ms),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
73,29502877,29502909,29502877,29502909,0,0.000000,32,100.000000,0.000000,1.000000
74,29502909,29502940,29502909,29502924,16,51.612903,15,48.387097,106.666667,93.750000
75,29502940,29502971,29502940,29502955,16,51.612903,15,48.387097,106.666667,93.750000
76,29502971,29503002,29502971,29502987,15,48.387097,16,51.612903,93.750000,106.666667
77,29503002,29503018,29503002,29503018,0,0.000000,16,100.000000,0.000000,1.000000
78,29503018,29503049,29503018,29503033,16,51.612903,15,48.387097,106.666667,93.750000
79,29503049,29503080,29503049,29503065,15,48.387097,16,51.612903,93.750000,106.666667
80,29503080,29503111,29503080,29503096,15,48.387097,16,51.612903,93.750000,106.666667
81,29503111,29503143,29503111,29503127,16,50.000000,16,50.000000,100.000000,100.000000
82,29503143,29503158,29503143,29503158,0,0.000000,15,100.000000,0.000000,1.000000
83,29503158,29503189,29503174,29503189,16,51.612903,15,48.387097,106.666667,93.750000
84,29503189,29503221,29503205,29503221,16,50.000000,16,50.000000,100.000000,100.000000
85,29503221,29503252,29503236,29503252,15,48.387097,16,51.612903,93.750000,106.666667
86,29503252,29503267,29503252,29503267,0,0.000000,15,100.000000,0.000000,1.000000
87,29503267,29503299,29503283,29503299,16,50.000000,16,50.000000,100.000000,100.000000
88,29503299,29503330,29503314,29503330,15,48.387097,16,51.612903,93.750000,106.666667
89,29503330,29503361,29503345,29503361,15,48.387097,16,51.612903,93.750000,106.666667
90,29503361,29503392,29503361,29503392,0,0.000000,31,100.000000,0.000000,1.000000
91,29503392,29503423,29503408,29503423,16,51.612903,15,48.387097,106.666667,93.750000
92,29503423,29503455,29503439,29503455,16,50.000000,16,50.000000,100.000000,100.000000
93,29503455,29503486,29503455,29503470,16,51.612903,15,48.387097,106.666667,93.750000
94,29503486,29503517,29503486,29503501,16,51.612903,15,48.387097,106.666667,93.750000
95,29503517,29503548,29503533,29503548,16,51.612903,15,48.387097,106.666667,93.750000
96,29503548,29503579,29503548,29503564,15,48.387097,16,51.612903,93.750000,106.666667
97,29503579,29503611,29503579,29503595,16,50.000000,16,50.000000,100.000000,100.000000
98,29503611,29503626,29503611,29503626,0,0.000000,15,100.000000,0.000000,1.000000
99,29503626,29503657,29503626,29503657,0,0.000000,31,100.000000,0.000000,1.000000
100,29503657,29503689,29503657,29503673,16,50.000000,16,50.000000,100.000000,100.000000
101,29503689,29503720,29503689,29503704,16,51.612903,15,48.387097,106.666667,93.750000
102,29503720,29503735,29503720,29503735,0,0.000000,15,100.000000,0.000000,1.000000
103,29503735,29503767,29503735,29503767,0,0.000000,32,100.000000,0.000000,1.000000
104,29503767,29503798,29503767,29503782,16,51.612903,15,48.387097,106.666667,93.750000
105,29503798,29503829,29503798,29503813,16,51.612903,15,48.387097,106.666667,93.750000
106,29503829,29503860,29503829,29503860,0,0.000000,31,100.000000,0.000000,1.000000
107,29503860,29503891,29503860,29503876,15,48.387097,16,51.612903,93.750000,106.666667
108,29503891,29503923,29503891,29503907,16,50.000000,16,50.000000,100.000000,100.000000
109,29503923,29503938,29503923,29503938,0,0.000000,15,100.000000,0.000000,1.000000
110,29503938,29503969,29503954,29503969,16,51.612903,15,48.387097,106.666667,93.750000
111,29503969,29504001,29503985,29504001,16,50.000000,16,50.000000,100.000000,100.000000
112,29504001,29504032,29504016,29504032,15,48.387097,16,51.612903,93.750000,106.666667
113,29504032,29504047,29504032,29504047,0,0.000000,15,100.000000,0.000000,1.000000
114,29504047,29504079,29504063,29504079,16,50.000000,16,50.000000,100.000000,100.000000
115,29504079,29504110,29504094,29504110,15,48.387097,16,51.612903,93.750000,106.666667
116,29504110,29504141,29504125,29504141,15,48.387097,16,51.612903,93.750000,106.666667
117,29504141,29504172,29504157,29504172,16,51.612903,15,48.387097,106.666667,93.750000
118,29504172,29504203,29504188,29504203,16,51.612903,15,48.387097,106.666667,93.750000
119,29504203,29504235,29504203,29504219,16,50.000000,16,50.000000,100.000000,100.000000
120,29504235,29504266,29504250,29504266,15,48.387097,16,51.612903,93.750000,106.666667
121,29504266,29504297,29504266,29504281,16,51.612903,15,48.387097,106.666667,93.750000
122,29504297,29504328,29504297,29504313,15,48.387097,16,51.612903,93.750000,106.666667
123,29504328,29504344,29504328,29504344,0,0.000000,16,100.000000,0.000000,1.000000
124,29504344,29504375,29504359,29504375,15,48.387097,16,51.612903,93.750000,106.666667
125,29504375,29504406,29504375,29504391,15,48.387097,16,51.612903,93.750000,106.666667
126,29504406,29504422,29504406,29504422,0,0.000000,16,100.000000,0.000000,1.000000
127,29504422,29504453,29504437,29504453,15,48.387097,16,51.612903,93.750000,106.666667
128,29504453,29504484,29504469,29504484,16,51.612903,15,48.387097,106.666667,93.750000
129,29504484,29504515,29504484,29504500,15,48.387097,16,51.612903,93.750000,106.666667
130,29504515,29504547,29504531,29504547,16,50.000000,16,50.000000,100.000000,100.000000
131,29504547,29504578,29504547,29504562,16,51.612903,15,48.387097,106.666667,93.750000
132,29504578,29504609,29504578,29504593,16,51.612903,15,48.387097,106.666667,93.750000
133,29504609,29504625,29504609,29504625,0,0.000000,16,100.000000,0.000000,1.000000
134,29504625,29504656,29504625,29504656,0,0.000000,31,100.000000,0.000000,1.000000
135,29504656,29504687,29504656,29504671,16,51.612903,15,48.387097,106.666667,93.750000
136,29504687,29504703,29504687,29504703,0,0.000000,16,100.000000,0.000000,1.000000
137,29504703,29504734,29504718,29504734,15,48.387097,16,51.612903,93.750000,106.666667
138,29504734,29504765,29504734,29504749,16,51.612903,15,48.387097,106.666667,93.750000
139,29504765,29504781,29504765,29504781,0,0.000000,16,100.000000,0.000000,1.000000
140,29504781,29504812,29504796,29504812,15,48.387097,16,51.612903,93.750000,106.666667
141,29504812,29504843,29504827,29504843,15,48.387097,16,51.612903,93.750000,106.666667
142,29504843,29504874,29504843,29504859,15,48.387097,16,51.612903,93.750000,106.666667
143,29504874,29504905,29504890,29504905,16,51.612903,15,48.387097,106.666667,93.750000
144,29504905,29504937,29504905,29504937,0,0.000000,32,100.000000,0.000000,1.000000
145,29504937,29504968,29504937,29504952,16,51.612903,15,48.387097,106.666667,93.750000
146,29504968,29504983,29504968,29504983,0,0.000000,15,100.000000,0.000000,1.000000
147,29504983,29505015,29504999,29505015,16,50.000000,16,50.000000,100.000000,100.000000
148,29505015,29505046,29505015,29505030,16,51.612903,15,48.387097,106.666667,93.750000
149,29505046,29505077,29505061,29505077,15,48.387097,16,51.612903,93.750000,106.666667
150,29505077,29505108,29505077,29505093,15,48.387097,16,51.612903,93.750000,106.666667
151,29505108,29505139,29505108,29505124,15,48.387097,16,51.612903,93.750000,106.666667
152,29505139,29505155,29505139,29505155,0,0.000000,16,100.000000,0.000000,1.000000
153,29505155,29505186,29505171,29505186,16,51.612903,15,48.387097,106.666667,93.750000
154,29505186,29505217,29505186,29505202,15,48.387097,16,51.612903,93.750000,106.666667
155,29505217,29505233,29505217,29505233,0,0.000000,16,100.000000,0.000000,1.000000
156,29505233,29505264,29505249,29505264,16,51.612903,15,48.387097,106.666667,93.750000
157,29505264,29505295,29505264,29505295,0,0.000000,31,100.000000,0.000000,1.000000
158,29505295,29505327,29505295,29505311,16,50.000000,16,50.000000,100.000000,100.000000
159,29505327,29505358,29505342,29505358,15,48.387097,16,51.612903,93.750000,106.666667
160,29505358,29505389,29505358,29505373,16,51.612903,15,48.387097,106.666667,93.750000
161,29505389,29505420,29505389,29505405,15,48.387097,16,51.612903,93.750000,106.666667
162,29505420,29505451,29505420,29505436,15,48.387097,16,51.612903,93.750000,106.666667
163,29505451,29505483,29505451,29505467,16,50.000000,16,50.000000,100.000000,100.000000
164,29505483,29505498,29505483,29505498,0,0.000000,15,100.000000,0.000000,1.000000
165,29505498,29505529,29505514,29505529,16,51.612903,15,48.387097,106.666667,93.750000
166,29505529,29505561,29505529,29505545,16,50.000000,16,50.000000,100.000000,100.000000
167,29505561,29505592,29505561,29505576,16,51.612903,15,48.387097,106.666667,93.750000
168,29505592,29505607,29505592,29505607,0,0.000000,15,100.000000,0.000000,1.000000
169,29505607,29505639,29505607,29505639,0,0.000000,32,100.000000,0.000000,1.000000
170,29505639,29505670,29505639,29505654,16,51.612903,15,48.387097,106.666667,93.750000
171,29505670,29505685,29505670,29505685,0,0.000000,15,100.000000,0.000000,1.000000
172,29505685,29505717,29505701,29505717,16,50.000000,16,50.000000,100.000000,100.000000
173,29505717,29505748,29505717,29505732,16,51.612903,15,48.387097,106.666667,93.750000
174,29505748,29505779,29505748,29505763,16,51.612903,15,48.387097,106.666667,93.750000
175,29505779,29505810,29505779,29505795,15,48.387097,16,51.612903,93.750000,106.666667
176,29505810,29505841,29505810,29505826,15,48.387097,16,51.612903,93.750000,106.666667
177,29505841,29505873,29505841,29505857,16,50.000000,16,50.000000,100.000000,100.000000
178,29505873,29505888,29505873,29505888,0,0.000000,15,100.000000,0.000000,1.000000
179,29505888,29505919,29505888,29505904,15,48.387097,16,51.612903,93.750000,106.666667
180,29505919,29505951,29505919,29505935,16,50.000000,16,50.000000,100.000000,100.000000
181,29505951,29505966,29505951,29505966,0,0.000000,15,100.000000,0.000000,1.000000
182,29505966,29505997,29505982,29505997,16,51.612903,15,48.387097,106.666667,93.750000
183,29505997,29506029,29505997,29506013,16,50.000000,16,50.000000,100.000000,100.000000
184,29506029,29506044,29506029,29506044,0,0.000000,15,100.000000,0.000000,1.000000
185,29506044,29506075,29506060,29506075,16,51.612903,15,48.387097,106.666667,93.750000
186,29506075,29506107,29506075,29506107,0,0.000000,32,100.000000,0.000000,1.000000
187,29506107,29506138,29506107,29506122,16,51.612903,15,48.387097,106.666667,93.750000
188,29506138,29506153,29506138,29506153,0,0.000000,15,100.000000,0.000000,1.000000
189,29506153,29506185,29506169,29506185,16,50.000000,16,50.000000,100.000000,100.000000
190,29506185,29506216,29506185,29506216,0,0.000000,31,100.000000,0.000000,1.000000
191,29506216,29506247,29506216,29506231,16,51.612903,15,48.387097,106.666667,93.750000
192,29506247,29506278,29506263,29506278,16,51.612903,15,48.387097,106.666667,93.750000
193,29506278,29506309,29506278,29506294,15,48.387097,16,51.612903,93.750000,106.666667
194,29506309,29506341,29506309,29506325,16,50.000000,16,50.000000,100.000000,100.000000
195,29506341,29506356,29506341,29506356,0,0.000000,15,100.000000,0.000000,1.000000
196,29506356,29506387,29506356,29506372,15,48.387097,16,51.612903,93.750000,106.666667
197,29506387,29506419,29506387,29506403,16,50.000000,16,50.000000,100.000000,100.000000
