统计序号,client发送时间(ms),client接收时间(ms),server发送时间(ms),server接收时间(ms),本地总线间隔时间(ms),占比百分比(%),服务端间隔时间(ms),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
66,7547562,7547655,7547593,7547609,77,82.795699,16,17.204301,481.25,20.779221
67,7547655,7547702,7547655,7547687,15,31.914894,32,68.085106,46.875,213.333333
68,7547702,7547811,7547733,7547765,77,70.642202,32,29.357798,240.625,41.558442
69,7547811,7547858,7547811,7547843,15,31.914894,32,68.085106,46.875,213.333333
70,7547858,7547952,7547889,7547905,78,82.978723,16,17.021277,487.5,20.512821
71,7547952,7547999,7547967,7547983,31,65.957447,16,34.042553,193.75,51.612903
72,7547999,7548108,7548030,7548061,78,71.559633,31,28.440367,251.612903,39.74359
73,7548108,7548155,7548108,7548139,16,34.042553,31,65.957447,51.612903,193.75
74,7548155,7548248,7548186,7548217,62,66.666667,31,33.333333,200,50
75,7548248,7548311,7548264,7548279,48,76.190476,15,23.809524,320,31.25
76,7548311,7548404,7548342,7548357,78,83.870968,15,16.129032,520,19.230769
77,7548404,7548451,7548420,7548435,32,68.085106,15,31.914894,213.333333,46.875
78,7548451,7548560,7548482,7548513,78,71.559633,31,28.440367,251.612903,39.74359
79,7548560,7548607,7548560,7548591,16,34.042553,31,65.957447,51.612903,193.75
80,7548607,7548701,7548638,7548654,78,82.978723,16,17.021277,487.5,20.512821
81,7548701,7548747,7548716,7548732,30,65.217391,16,34.782609,187.5,53.333333
82,7548747,7548857,7548779,7548810,79,71.818182,31,28.181818,254.83871,39.240506
83,7548857,7548903,7548857,7548888,15,32.608696,31,67.391304,48.387097,206.666667
84,7548903,7549013,7548935,7548966,79,71.818182,31,28.181818,254.83871,39.240506
85,7549013,7549059,7549013,7549028,31,67.391304,15,32.608696,206.666667,48.387097
86,7549059,7549153,7549091,7549106,79,84.042553,15,15.957447,526.666667,18.987342
87,7549153,7549200,7549153,7549184,16,34.042553,31,65.957447,51.612903,193.75
88,7549200,7549309,7549231,7549262,78,71.559633,31,28.440367,251.612903,39.74359
89,7549309,7549356,7549309,7549340,16,34.042553,31,65.957447,51.612903,193.75
90,7549356,7549449,7549387,7549403,77,82.795699,16,17.204301,481.25,20.779221
91,7549449,7549512,7549465,7549481,47,74.603175,16,25.396825,293.75,34.042553
92,7549512,7549605,7549527,7549559,61,65.591398,32,34.408602,190.625,52.459016
93,7549605,7549699,7549652,7549683,63,67.021277,31,32.978723,203.225806,49.206349
94,7549699,7549761,7549730,7549746,46,74.193548,16,25.806452,287.5,34.782609
95,7549761,7549855,7549808,7549824,78,82.978723,16,17.021277,487.5,20.512821
96,7549855,7549902,7549871,7549902,16,34.042553,31,65.957447,51.612903,193.75
97,7549902,7550011,7549949,7549980,78,71.559633,31,28.440367,251.612903,39.74359
98,7550011,7550058,7550027,7550058,16,34.042553,31,65.957447,51.612903,193.75
99,7550058,7550151,7550105,7550120,78,83.870968,15,16.129032,520,19.230769
100,7550151,7550198,7550167,7550198,16,34.042553,31,65.957447,51.612903,193.75
101,7550198,7550307,7550245,7550276,78,71.559633,31,28.440367,251.612903,39.74359
102,7550307,7550354,7550323,7550339,31,65.957447,16,34.042553,193.75,51.612903
103,7550354,7550448,7550401,7550417,78,82.978723,16,17.021277,487.5,20.512821
104,7550448,7550510,7550479,7550495,46,74.193548,16,25.806452,287.5,34.782609
105,7550510,7550604,7550541,7550573,62,65.957447,32,34.042553,193.75,51.612903
106,7550604,7550651,7550619,7550635,31,65.957447,16,34.042553,193.75,51.612903
107,7550651,7550760,7550697,7550713,93,85.321101,16,14.678899,581.25,17.204301
108,7550760,7550807,7550760,7550791,16,34.042553,31,65.957447,51.612903,193.75
109,7550807,7550900,7550838,7550869,62,66.666667,31,33.333333,200,50
110,7550900,7550963,7550916,7550947,32,50.793651,31,49.206349,103.225806,96.875
111,7550963,7551056,7550994,7551009,78,83.870968,15,16.129032,520,19.230769
112,7551056,7551103,7551056,7551087,16,34.042553,31,65.957447,51.612903,193.75
113,7551103,7551212,7551134,7551165,78,71.559633,31,28.440367,251.612903,39.74359
114,7551212,7551259,7551212,7551228,31,65.957447,16,34.042553,193.75,51.612903
115,7551259,7551353,7551290,7551306,78,82.978723,16,17.021277,487.5,20.512821
116,7551353,7551399,7551353,7551384,15,32.608696,31,67.391304,48.387097,206.666667
117,7551399,7551509,7551431,7551477,64,58.181818,46,41.818182,139.130435,71.875
118,7551509,7551555,7551524,7551555,15,32.608696,31,67.391304,48.387097,206.666667
119,7551555,7551649,7551602,7551618,78,82.978723,16,17.021277,487.5,20.512821
120,7551649,7551711,7551680,7551696,46,74.193548,16,25.806452,287.5,34.782609
121,7551711,7551805,7551743,7551774,63,67.021277,31,32.978723,203.225806,49.206349
122,7551805,7551852,7551821,7551852,16,34.042553,31,65.957447,51.612903,193.75
123,7551852,7551961,7551899,7551930,78,71.559633,31,28.440367,251.612903,39.74359
124,7551961,7552008,7551977,7551992,32,68.085106,15,31.914894,213.333333,46.875
125,7552008,7552102,7552055,7552070,79,84.042553,15,15.957447,526.666667,18.987342
126,7552102,7552148,7552117,7552148,15,32.608696,31,67.391304,48.387097,206.666667
127,7552148,7552258,7552195,7552226,79,71.818182,31,28.181818,254.83871,39.240506
128,7552258,7552304,7552273,7552304,15,32.608696,31,67.391304,48.387097,206.666667
129,7552304,7552398,7552351,7552382,63,67.021277,31,32.978723,203.225806,49.206349
130,7552398,7552460,7552429,7552445,46,74.193548,16,25.806452,287.5,34.782609
131,7552460,7552554,7552507,7552523,78,82.978723,16,17.021277,487.5,20.512821
132,7552554,7552601,7552570,7552601,16,34.042553,31,65.957447,51.612903,193.75
133,7552601,7552710,7552648,7552679,78,71.559633,31,28.440367,251.612903,39.74359
134,7552710,7552757,7552726,7552757,16,34.042553,31,65.957447,51.612903,193.75
135,7552757,7552850,7552804,7552819,78,83.870968,15,16.129032,520,19.230769
136,7552850,7552913,7552866,7552897,32,50.793651,31,49.206349,103.225806,96.875
137,7552913,7553006,7552944,7552960,77,82.795699,16,17.204301,481.25,20.779221
138,7553006,7553053,7553022,7553038,31,65.957447,16,34.042553,193.75,51.612903
139,7553053,7553162,7553084,7553116,77,70.642202,32,29.357798,240.625,41.558442
140,7553162,7553209,7553162,7553194,15,31.914894,32,68.085106,46.875,213.333333
141,7553209,7553303,7553240,7553256,78,82.978723,16,17.021277,487.5,20.512821
142,7553303,7553350,7553318,7553334,31,65.957447,16,34.042553,193.75,51.612903
143,7553350,7553459,7553381,7553412,78,71.559633,31,28.440367,251.612903,39.74359
144,7553459,7553506,7553459,7553490,16,34.042553,31,65.957447,51.612903,193.75
145,7553506,7553599,7553537,7553552,78,83.870968,15,16.129032,520,19.230769
146,7553599,7553662,7553615,7553630,48,76.190476,15,23.809524,320,31.25
147,7553662,7553755,7553677,7553708,62,66.666667,31,33.333333,200,50
148,7553755,7553802,7553755,7553786,16,34.042553,31,65.957447,51.612903,193.75
149,7553802,7553911,7553833,7553864,78,71.559633,31,28.440367,251.612903,39.74359
150,7553911,7553958,7553911,7553927,31,65.957447,16,34.042553,193.75,51.612903
151,7553958,7554052,7553989,7554005,78,82.978723,16,17.021277,487.5,20.512821
152,7554052,7554161,7554114,7554130,93,85.321101,16,14.678899,581.25,17.204301
153,7554161,7554254,7554176,7554208,61,65.591398,32,34.408602,190.625,52.459016
154,7554254,7554348,7554301,7554332,63,67.021277,31,32.978723,203.225806,49.206349
155,7554348,7554457,7554379,7554410,78,71.559633,31,28.440367,251.612903,39.74359
156,7554457,7554504,7554457,7554488,16,34.042553,31,65.957447,51.612903,193.75
157,7554504,7554613,7554535,7554566,78,71.559633,31,28.440367,251.612903,39.74359
158,7554613,7554660,7554613,7554629,31,65.957447,16,34.042553,193.75,51.612903
159,7554660,7554754,7554691,7554707,78,82.978723,16,17.021277,487.5,20.512821
160,7554754,7554800,7554754,7554785,15,32.608696,31,67.391304,48.387097,206.666667
161,7554800,7554910,7554832,7554863,79,71.818182,31,28.181818,254.83871,39.240506
162,7554910,7554956,7554910,7554941,15,32.608696,31,67.391304,48.387097,206.666667
163,7554956,7555050,7554988,7555019,63,67.021277,31,32.978723,203.225806,49.206349
164,7555050,7555112,7555066,7555081,47,75.806452,15,24.193548,313.333333,31.914894
165,7555112,7555206,7555128,7555159,63,67.021277,31,32.978723,203.225806,49.206349
166,7555206,7555253,7555206,7555237,16,34.042553,31,65.957447,51.612903,193.75
167,7555253,7555362,7555284,7555315,78,71.559633,31,28.440367,251.612903,39.74359
168,7555362,7555409,7555362,7555378,31,65.957447,16,34.042553,193.75,51.612903
169,7555409,7555502,7555440,7555456,77,82.795699,16,17.204301,481.25,20.779221
170,7555502,7555549,7555502,7555534,15,31.914894,32,68.085106,46.875,213.333333
171,7555549,7555658,7555580,7555612,77,70.642202,32,29.357798,240.625,41.558442
172,7555658,7555705,7555658,7555690,15,31.914894,32,68.085106,46.875,213.333333
173,7555705,7555799,7555736,7555752,78,82.978723,16,17.021277,487.5,20.512821
174,7555799,7555861,7555814,7555830,46,74.193548,16,25.806452,287.5,34.782609
175,7555861,7555955,7555877,7555908,63,67.021277,31,32.978723,203.225806,49.206349
176,7555955,7556002,7555955,7555986,16,34.042553,31,65.957447,51.612903,193.75
177,7556002,7556111,7556033,7556064,78,71.559633,31,28.440367,251.612903,39.74359
178,7556111,7556158,7556111,7556142,16,34.042553,31,65.957447,51.612903,193.75
179,7556158,7556251,7556189,7556204,78,83.870968,15,16.129032,520,19.230769
180,7556251,7556298,7556267,7556282,32,68.085106,15,31.914894,213.333333,46.875
181,7556298,7556407,7556329,7556360,78,71.559633,31,28.440367,251.612903,39.74359
182,7556407,7556454,7556407,7556438,16,34.042553,31,65.957447,51.612903,193.75
183,7556454,7556563,7556485,7556516,78,71.559633,31,28.440367,251.612903,39.74359
184,7556563,7556610,7556563,7556579,31,65.957447,16,34.042553,193.75,51.612903
185,7556610,7556704,7556641,7556657,78,82.978723,16,17.021277,487.5,20.512821
186,7556704,7556750,7556704,7556735,15,32.608696,31,67.391304,48.387097,206.666667
187,7556750,7556860,7556782,7556813,79,71.818182,31,28.181818,254.83871,39.240506
188,7556860,7556953,7556906,7556922,77,82.795699,16,17.204301,481.25,20.779221
189,7556953,7557062,7556984,7557000,93,85.321101,16,14.678899,581.25,17.204301
190,7557062,7557156,7557109,7557125,78,82.978723,16,17.021277,487.5,20.512821
191,7557156,7557203,7557187,7557203,31,65.957447,16,34.042553,193.75,51.612903
192,7557203,7557312,7557250,7557281,78,71.559633,31,28.440367,251.612903,39.74359
193,7557312,7557406,7557328,7557359,63,67.021277,31,32.978723,203.225806,49.206349
194,7557406,7557499,7557452,7557484,61,65.591398,32,34.408602,190.625,52.459016
195,7557499,7557608,7557530,7557562,77,70.642202,32,29.357798,240.625,41.558442
196,7557608,7557655,7557608,7557640,15,31.914894,32,68.085106,46.875,213.333333
197,7557655,7557749,7557686,7557702,78,82.978723,16,17.021277,487.5,20.512821
198,7557749,7557858,7557811,7557842,78,71.559633,31,28.440367,251.612903,39.74359
199,7557858,7557952,7557889,7557905,78,82.978723,16,17.021277,487.5,20.512821
