统计序号,client发送时间(count),client接收时间(count),server发送时间(count),server接收时间(count),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
49,75159500337,75159656828,75159509647,75159581387,27135.759162,54.157108,22969.868937,45.842892,118.136326,84.647969
50,75159656846,75159968836,75159737522,75159809021,77000.930449,77.082919,22892.705033,22.917081,336.355753,29.730427
51,75159968856,75160281163,75160121726,75160194595,76663.778623,76.667510,23331.354608,23.332490,328.586916,30.433348
52,75160281184,75160437168,75160349918,75160424804,25966.133691,51.991230,23977.162046,48.008770,108.295275,92.340132
53,75160437191,75160749332,75160581089,75160661801,74099.439617,74.142455,25842.543373,25.857545,286.734315,34.875491
54,75160749347,75160905449,75160818091,75160891489,26480.346258,52.980743,23500.730976,47.019257,112.678820,88.747824
55,75160905456,75161218162,75161046291,75161126989,74284.825094,74.193652,25838.060823,25.806348,287.501549,34.782421
56,75161218182,75161374334,75161283613,75161355819,26878.012514,53.759158,23119.073828,46.240842,116.259037,86.014819
57,75161374355,75161686802,75161511960,75161593186,74032.841726,74.003271,26007.117009,25.996729,284.663778,35.129162
58,75161686825,75161842909,75161748892,75161818926,27551.675801,55.130571,22423.638153,44.869429,122.868892,81.387565
59,75161842934,75162155452,75161973859,75162046322,76861.331023,76.813176,23201.360646,23.186824,331.279412,30.185999
60,75162155470,75162311319,75162201909,75162274328,26712.798514,53.532586,23187.272631,46.467414,115.204573,86.802110
61,75162311342,75162623681,75162430027,75162503223,76569.324883,76.565206,23436.054177,23.434794,326.715941,30.607628
62,75162623699,75162779814,75162657959,75162732150,26230.604165,52.476700,23754.635437,47.523300,110.423097,90.560764
63,75162779835,75163092063,75162888854,75162962046,76535.065391,76.558156,23434.773449,23.441844,326.587605,30.619656
64,75163092138,75163248216,75163117195,75163191330,26236.687626,52.501313,23736.705236,47.498687,110.532137,90.471425
65,75163248229,75163560829,75163348509,75163421666,76665.379534,76.597249,23423.567073,23.402751,327.300190,30.552992
66,75163560855,75163716800,75163576303,75163652810,25434.631288,50.939754,24496.177345,49.060246,103.831022,96.310330
67,75163716826,75164028968,75163807447,75163883145,75705.153204,75.748858,24237.149969,24.251142,312.351713,32.015192
68,75164028976,75164185091,75164038247,75164126826,21623.823090,43.260417,28361.416512,56.739583,76.243805,131.158197
69,75164185102,75164497407,75164281893,75164356235,76191.509921,76.195706,23802.982945,23.804294,320.092276,31.240991
70,75164497417,75164654012,75164513045,75164592387,24735.033245,49.332993,25403.893799,50.667007,97.367094,102.704102
71,75164654028,75164966238,75164747302,75164818911,77036.150488,77.063835,22927.925072,22.936165,335.992682,29.762553
72,75164966258,75165122283,75164975667,75165068675,20176.919860,40.389040,29779.503346,59.610960,67.754387,147.591920
73,75165122299,75165434739,75165225336,75165296906,77122.279492,77.093202,22915.437968,22.906798,336.551628,29.713123
74,75165434759,75165590866,75165453384,75165549091,19339.003119,38.691410,30643.675025,61.308590,63.109281,158.455298
75,75165590885,75165903510,75165706404,75165777039,77480.883523,77.405838,22616.067638,22.594162,342.592199,29.189223
76,75165903535,75166059628,75165934410,75166008551,26239.569265,52.502034,23738.626329,47.497966,110.535331,90.468811
77,75166059654,75166371650,75166165583,75166238745,76470.388592,76.550340,23425.167984,23.449660,326.445422,30.632992
78,75166371670,75166527911,75166393401,75166464488,27264.792576,54.501699,22760.789979,45.498301,119.788428,83.480518
79,75166527935,75166840245,75166621865,75166694790,76646.808968,76.649803,23349.284809,23.350197,328.261913,30.463479
80,75166840266,75166996392,75166849406,75166925017,25779.467486,51.570526,24209.294120,48.429474,106.485829,93.909209
81,75166996416,75167308514,75167080791,75167159497,74727.957219,74.781639,25200.257939,25.218361,296.536478,33.722664
82,75167308525,75167464528,75167314663,75167391092,25478.176063,51.007993,24471.203136,48.992007,104.114930,96.047704
83,75167464538,75167777303,75167545802,75167620014,76380.417402,76.272281,23761.359263,23.727719,321.448014,31.109229
84,75167777328,75168089494,75167930166,75168012237,73672.316601,73.709180,26277.670944,26.290820,280.360907,35.668311
85,75168089505,75168401834,75168167421,75168252094,72891.392287,72.889805,27110.784952,27.110195,268.864927,37.193397
86,75168401854,75168558331,75168407900,75168481847,26424.634560,52.742576,23676.510988,47.257424,111.606962,89.600145
87,75168558359,75168714242,75168636035,75168708399,26741.294727,53.578004,23169.662611,46.421996,115.415124,86.643758
88,75168714260,75169026603,75168864258,75168937652,76507.209542,76.502115,23499.450247,23.497885,325.570210,30.715341
89,75169026626,75169183074,75169092098,75169161124,27990.965740,55.879270,22100.894525,44.120730,126.650827,78.957242
90,75169183094,75169495080,75169316905,75169391762,75924.477991,76.006295,23967.876763,23.993705,316.775986,31.568049
91,75169495101,75169651079,75169548060,75169628389,24221.461042,48.499788,25719.913602,51.500212,94.173960,106.186466
92,75169651096,75169963330,75169785294,75169857270,76926.328004,76.948058,23045.431929,23.051942,333.802934,29.957795
93,75169963338,75170119394,75170013208,75170089231,25625.139679,51.284795,24341.209174,48.715205,105.274719,94.989567
94,75170119401,75170432141,75170245186,75170318168,76766.236918,76.663682,23367.535193,23.336318,328.516621,30.439860
95,75170432164,75170588255,75170475824,75170549330,26442.244579,52.908239,23535.310650,47.091761,112.351373,89.006478
96,75170588274,75170900316,75170703749,75170787204,73189.481888,73.255203,26720.803068,26.744797,273.904499,36.509075
97,75170900324,75171056453,75170943998,75171021383,25212.424861,50.435217,24777.297291,49.564783,101.756154,98.274154
98,75171056462,75171369299,75171175323,75171247277,77126.441860,76.999524,23038.387921,23.000476,334.773605,29.870933
99,75171369323,75171525247,75171403452,75171476813,26435.200572,52.950797,23488.884236,47.049203,112.543450,88.854572
100,75171525266,75171837578,75171631241,75171704645,76494.082073,76.496580,23502.652069,23.503420,325.470002,30.724798
101,75171837598,75171993808,75171859461,75171937773,24941.550745,49.867486,25074.106163,50.132514,99.471345,100.531464
102,75171993836,75172306192,75172093530,75172167274,76399.308150,76.391041,23611.514007,23.608959,323.568019,30.905403
103,75172306216,75172462321,75172321690,75172392458,27323.385914,54.666410,22658.651867,45.333590,120.586988,82.927687
104,75172462345,75172775043,75172549655,75172627140,75311.008952,75.220500,24809.315508,24.779500,303.559399,32.942482
105,75172775065,75172930741,75172783871,75172857673,26214.595056,52.592564,23630.084573,47.407436,110.937373,90.140948
106,75172930760,75173243167,75173015100,75173088411,76554.276321,76.533496,23472.875127,23.466504,326.139324,30.661743
107,75173243189,75173555620,75173399358,75173473541,76282.761840,76.256197,23752.073980,23.743803,321.162530,31.136883
108,75173555637,75173711331,75173630202,75173702371,26743.215820,53.646897,23107.227088,46.353103,115.735288,86.404071
109,75173711343,75174023990,75173859677,75173930446,77445.023120,77.364568,22658.972049,22.635432,341.785245,29.258138
110,75174024019,75174180044,75174086292,75174163762,25151.910431,50.347701,24804.512776,49.652299,101.400542,98.618802
111,75174180065,75174492180,75174320406,75174390203,77585.903276,77.637409,22347.754979,22.362591,347.175380,28.803886
112,75174492188,75174648560,75174545378,75174642131,19088.940844,38.126391,30978.585576,61.873609,61.619795,162.285513
113,75174648580,75174960919,75174798585,75174869623,77260.278008,77.256122,22745.101053,22.743878,339.678763,29.439580
