统计序号,client发送时间(count),client接收时间(count),server发送时间(count),server接收时间(count),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
0,75653809081,75653963972,75653923245,75653923307,49573.485330,99.959972,19.851295,0.040028,249724.193548,0.040044
1,75653963981,75654120194,75654079454,75654079550,49985.879966,99.938545,30.737488,0.061455,162621.875000,0.061492
2,75654120218,75654900656,75654235432,75654861637,49382.656756,19.762364,200499.676296,80.237636,24.629794,406.012332
3,75654900663,75655212947,75655016204,75655076210,80774.917697,80.784798,19212.851344,19.215202,420.421291,23.785665
4,75655212955,75655369168,75655231608,75655285761,32677.792357,65.333871,17338.825098,34.666129,188.466013,53.059965
5,75655369177,75655525359,75655441036,75655495361,32612.795376,65.216862,17393.896431,34.783138,187.495628,53.334577
6,75655525370,75655837626,75655650285,75655706941,81838.562869,81.855913,18140.241072,18.144087,451.143745,22.165884
7,75655837636,75655993854,75655862630,75655923456,30542.817642,61.063386,19475.400724,38.936614,156.827672,63.764257
8,75655993863,75656150107,75656078108,75656132032,32761.039721,65.487315,17265.503381,34.512685,189.748535,52.701329
9,75656150115,75656462316,75656287353,75656343105,82110.397532,82.142274,17850.796389,17.857726,459.981705,21.739995
10,75656462324,75656618423,75656499746,75656556505,31806.896852,63.639101,18173.219835,36.360899,175.020702,57.136098
11,75656618431,75656774572,75656712192,75656766323,32661.783248,65.331976,17331.781090,34.668024,188.450241,53.064405
12,75656774579,75657086941,75656921417,75656979650,81367.574895,81.357207,18645.168355,18.642793,436.400323,22.914740
13,75657086949,75657243159,75657133759,75657193774,30799.923925,61.580565,19215.732983,38.419435,160.284929,62.388898
14,75657243171,75657555525,75657349396,75657402408,83036.684552,83.028231,16973.497241,16.971769,489.213763,20.440962
15,75657555534,75657711727,75657558485,75657611422,33060.730233,66.107956,16949.483578,33.892044,195.054499,51.267723
16,75657711736,75657868287,75657767858,75657820883,33147.179419,66.129249,16977.659609,33.870751,195.239981,51.219017
17,75657868309,75658180669,75657977159,75658031149,82725.467482,82.715457,17286.635404,17.284543,478.551584,20.896389
18,75658180692,75658336592,75658186721,75658241428,32400.194415,64.908916,17516.206021,35.091084,184.972673,54.062040
19,75658336614,75658492746,75658395991,75658458743,29898.611114,59.808367,20092.071585,40.191633,148.808006,67.200685
20,75658492764,75658805145,75658614460,75658669060,82536.880183,82.521344,17481.946528,17.478656,472.126374,21.180770
21,75658805163,75658961085,75658823846,75658881465,31474.867941,63.046267,18448.576502,36.953733,170.608653,58.613674
22,75658961108,75659117116,75659035987,75659090067,32635.528310,65.335111,17315.451799,34.664889,188.476331,53.057060
23,75659117127,75659429669,75659245310,75659299693,82657.909044,82.599779,17412.466997,17.400221,474.705331,21.065700
24,75659429684,75659585921,75659454496,75659513898,31004.840514,61.979557,19019.461313,38.020443,163.016397,61.343522
25,75659585936,75659742190,75659670213,75659730165,30834.183417,61.631702,19195.561507,38.368298,160.631839,62.254159
26,75659742208,75660054514,75659885788,75659961081,75887.336859,75.891273,24107.476190,24.108727,314.787563,31.767456
27,75660054533,75660210690,75660116942,75660175805,31151.804130,62.305244,18846.883123,37.694756,165.288891,60.500134
28,75660210712,75660522764,75660332445,75660388054,82108.476439,82.179573,17805.010339,17.820427,461.153770,21.684741
29,75660522776,75660678935,75660544626,75660598406,32779.930469,65.560743,17219.397148,34.439257,190.366307,52.530304
30,75660678946,75660835206,75660754227,75660813136,31170.054514,62.300653,18861.611502,37.699347,165.256582,60.511962
31,75660835223,75661147778,75660969635,75661028153,81338.118136,81.277535,18736.420274,18.722465,434.117707,23.035227
32,75661147803,75661303842,75661184949,75661244529,30884.452018,61.817238,19076.453739,38.182762,161.898288,61.767176
33,75661303861,75661459910,75661400542,75661455067,32506.174713,65.059052,17457.932865,34.940948,186.197157,53.706513
34,75661459928,75661772185,75661610027,75661666546,81882.748008,81.899845,18096.376114,18.100155,452.481466,22.100353
35,75661772205,75661928435,75661822280,75661878307,32083.214065,64.138130,17938.846486,35.861870,178.847698,55.913496
36,75661928454,75662240909,75662034785,75662089290,82590.990970,82.555888,17451.529222,17.444112,473.259334,21.130064
37,75662240931,75662552978,75662399899,75662452862,82954.077552,83.027236,16957.808315,16.972764,489.179238,20.442405
38,75662552987,75662709308,75662609277,75662663573,32666.585981,65.266343,17384.611148,34.733657,187.905186,53.218329
39,75662709322,75663021866,75662818443,75662875527,81793.737365,81.735692,18277.279041,18.264308,447.515941,22.345573
40,75663021888,75663177811,75663031067,75663086082,32308.942496,64.716559,17614.822129,35.283441,183.419068,54.519959
41,75663177834,75663334071,75663240439,75663297177,31857.805817,63.684659,18166.496010,36.315341,175.365716,57.023689
42,75663334089,75663646454,75663452858,75663509549,81862.256349,81.851040,18151.447448,18.148960,450.995749,22.173158
43,75663646473,75663802768,75663665270,75663725210,30851.153072,61.649445,19191.719321,38.350555,160.752419,62.207462
44,75663802789,75663958397,75663880805,75663950370,27549.434526,55.294715,22273.472715,44.705285,123.687199,80.849110
45,75663958408,75664271243,75664105593,75664161567,82242.312586,82.107501,17921.876831,17.892499,458.893415,21.791553
46,75664271261,75664427281,75664317678,75664371556,32704.047295,65.467248,17250.775001,34.532752,189.580163,52.748135
47,75664427329,75664739420,75664527084,75664585006,81380.382182,81.440670,18545.591700,18.559330,438.812541,22.788774
48,75664739440,75665051672,75664895737,75664952231,81882.748008,81.906403,18088.371560,18.093597,452.681701,22.090577
49,75665051684,75665207753,75665107775,75665163676,32072.007689,64.181868,17898.503533,35.818132,179.188208,55.807244
50,75665207760,75665520481,75665320517,75665377569,81860.655439,81.756262,18267.033211,18.243738,448.133282,22.314790
51,75665520505,75665676569,75665532910,75665589137,31966.027391,63.971832,18002.882920,36.028168,177.560603,56.318800
52,75665676591,75665832437,75665745225,75665799896,32394.431136,64.919857,17504.679462,35.080143,185.061550,54.036076
